FECHA_REGISTRO;COD_BODEGA;NOM_BODEGA;COD_NEGOCIO;NOM_NEGOCIO;COD_LINEA;NOM_LINEA;COD_MARCA;NOM_MARCA;COD_ARTICULO;NOM_ARTICULO;PRESENTACION;UNIDAD_VENTA;CANTIDAD_INICIAL;CANTIDAD_ENTRADAS;CANTIDAD_SALIDAS;CANTIDAD_VENTAS;CANTIDAD_DEVOLUCION;CANTIDAD_EXISTENCIAS;CANTIDAD_SEPARACION;CANTIDAD_RESERVA;CANTIDAD_TRANSITO;CANTIDAD_NO_APTA;FACTOR_ESTIBA;LOTE;FECHA_FAB;FECHA_VEN;COSTO;VALOR
202003;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;8289;0;3;1312;0;6973;1;0;0;0;52;0;0;0;0;0
202003;48;CUARTO FRIO;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;7;0;0;0;0;7;0;0;0;0;52;0;0;0;0;0
202003;88;BODEGA NAL. DE DEVOLUCIONES   ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;61;592;596;0;1;47;11;0;23;0;52;0;0;0;0;0
202003;C8;BODEGA DEVOLUCION YUMBO       ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;12;0;15;0;16;7;6;0;0;0;52;0;0;0;0;0
202003;I7;TIENDA VIRTUAL ALMACÉN DE EM;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;23;0;0;1;0;22;0;0;0;0;52;0;0;0;0;0
202003;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;37033;0;82;11591;0;25252;108;0;0;0;40;0;0;0;0;0
202003;48;CUARTO FRIO;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;12;0;0;0;0;12;0;0;0;0;40;0;0;0;0;0
202003;59;BODEGA ENTIDADES              ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;4;0;0;0;0;4;0;0;0;0;40;0;0;0;0;0
202003;88;BODEGA NAL. DE DEVOLUCIONES   ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;14;47;34;0;0;15;12;0;30;0;40;0;0;0;0;0
202003;I7;TIENDA VIRTUAL ALMACÉN DE EM;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;18;12;0;6;0;24;0;0;0;0;40;0;0;0;0;0
202004;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10001;FIXAMICIN NF MM               ;FCOx15Ml    ;210;54;10;0;0;0;64;0;0;0;0;37;0;0;0;0;0
202004;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;6974;0;1;217;0;6756;0;0;0;0;52;0;0;0;0;0
202004;48;CUARTO FRIO;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;7;0;0;0;0;7;0;0;0;0;52;0;0;0;0;0
202004;88;BODEGA NAL. DE DEVOLUCIONES   ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;58;29;79;0;0;3;5;0;3;0;52;0;0;0;0;0
202004;I7;TIENDA VIRTUAL ALMACÉN DE EM;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;22;0;0;2;0;20;0;0;0;0;52;0;0;0;0;0
202004;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;25360;18949;9;3974;0;40289;37;0;0;0;40;0;0;0;0;0
202004;48;CUARTO FRIO;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;12;0;0;0;0;12;0;0;0;0;40;0;0;0;0;0
202004;59;BODEGA ENTIDADES              ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;4;0;0;0;0;4;0;0;0;0;40;0;0;0;0;0
202004;88;BODEGA NAL. DE DEVOLUCIONES   ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;27;33;57;0;0;1;2;0;0;0;40;0;0;0;0;0
202004;C9;BOD M/CIA NO RECIBIDA YUMBO   ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;0;36;0;0;0;36;0;0;0;0;40;0;0;0;0;0
202004;I7;TIENDA VIRTUAL ALMACÉN DE EM;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;24;0;0;3;0;21;0;0;0;0;40;0;0;0;0;0
202005;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10001;FIXAMICIN NF MM               ;FCOx15Ml    ;210;64;0;0;0;0;64;0;0;0;0;37;0;0;0;0;0
202005;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;6756;0;6;160;0;6493;97;0;0;0;52;0;0;0;0;0
202005;48;CUARTO FRIO;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;7;0;0;0;0;7;0;0;0;0;52;0;0;0;0;0
202005;88;BODEGA NAL. DE DEVOLUCIONES   ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;8;4;10;0;0;1;1;0;3;0;52;0;0;0;0;0
202005;I7;TIENDA VIRTUAL ALMACÉN DE EM;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;20;0;0;1;0;19;0;0;0;0;52;0;0;0;0;0
202005;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;40326;0;42;2075;0;36934;1275;0;0;0;40;0;0;0;0;0
202005;48;CUARTO FRIO;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;12;0;0;0;0;12;0;0;0;0;40;0;0;0;0;0
202005;59;BODEGA ENTIDADES              ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;4;0;0;0;0;4;0;0;0;0;40;0;0;0;0;0
201909;I7;TIENDA VIRTUAL ALMACÉN DE EM;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;210;0;0;0;0;210;0;0;0;0;52;0;0;0;0;0
201909;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;34657;6;39;7662;0;26805;157;0;0;0;40;0;0;0;0;0
201909;48;CUARTO FRIO;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;14;0;0;4;0;10;0;0;0;0;40;0;0;0;0;0
201909;88;BODEGA NAL. DE DEVOLUCIONES   ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;99;116;110;0;2;53;54;0;106;0;40;0;0;0;0;0
201909;C8;BODEGA DEVOLUCION YUMBO       ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;33;1;6;0;34;8;54;0;0;0;40;0;0;0;0;0
201909;I7;TIENDA VIRTUAL ALMACÉN DE EM;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;300;0;0;0;0;300;0;0;0;0;40;0;0;0;0;0
201910;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10001;FIXAMICIN NF MM               ;FCOx15Ml    ;210;2093;0;60;0;0;2033;0;0;0;0;37;0;0;0;0;0
201910;48;CUARTO FRIO;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;7;0;0;0;0;7;0;0;0;0;52;0;0;0;0;0
201910;88;BODEGA NAL. DE DEVOLUCIONES   ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;148;106;231;0;8;26;5;0;23;0;52;0;0;0;0;0
201910;C8;BODEGA DEVOLUCION YUMBO       ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;60;0;39;0;21;10;32;0;0;0;52;0;0;0;0;0
201910;I7;TIENDA VIRTUAL ALMACÉN DE EM;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;210;0;0;0;0;210;0;0;0;0;52;0;0;0;0;0
201910;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;26962;7;72;8782;0;18108;7;0;0;0;40;0;0;0;0;0
201910;48;CUARTO FRIO;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;10;14;0;6;0;18;0;0;0;0;40;0;0;0;0;0
201910;88;BODEGA NAL. DE DEVOLUCIONES   ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;107;78;175;0;0;9;1;0;51;0;40;0;0;0;0;0
201910;C8;BODEGA DEVOLUCION YUMBO       ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;62;0;62;0;21;16;5;0;0;0;40;0;0;0;0;0
201910;I7;TIENDA VIRTUAL ALMACÉN DE EM;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;300;0;0;0;0;300;0;0;0;0;40;0;0;0;0;0
201911;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10001;FIXAMICIN NF MM               ;FCOx15Ml    ;210;2033;0;110;0;0;1923;0;0;0;0;37;0;0;0;0;0
201911;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;0;14324;0;202;0;14100;22;0;186;0;52;0;0;0;0;0
201911;48;CUARTO FRIO;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;7;0;0;0;0;7;0;0;0;0;52;0;0;0;0;0
201911;88;BODEGA NAL. DE DEVOLUCIONES   ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;31;138;67;0;2;18;86;0;9;0;52;0;0;0;0;0
201911;I7;TIENDA VIRTUAL ALMACÉN DE EM;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;210;0;186;0;0;24;0;0;0;0;52;0;0;0;0;0
201911;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;18115;24894;13;9378;0;32512;1106;0;276;0;40;0;0;0;0;0
201911;48;CUARTO FRIO;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;18;0;0;1;0;17;0;0;0;0;40;0;0;0;0;0
201911;88;BODEGA NAL. DE DEVOLUCIONES   ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;10;68;71;0;9;12;4;0;2;0;40;0;0;0;0;0
201911;I7;TIENDA VIRTUAL ALMACÉN DE EM;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;300;0;276;3;0;21;0;0;0;0;40;0;0;0;0;0
201912;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10001;FIXAMICIN NF MM               ;FCOx15Ml    ;210;1923;0;100;0;0;1823;0;0;0;0;37;0;0;0;0;0
201912;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;14122;186;15;3674;0;10612;7;0;0;0;52;0;0;0;0;0
201912;48;CUARTO FRIO;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;7;0;0;0;0;7;0;0;0;0;52;0;0;0;0;0
201912;88;BODEGA NAL. DE DEVOLUCIONES   ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;104;60;132;0;1;21;12;0;55;0;52;0;0;0;0;0
201912;I7;TIENDA VIRTUAL ALMACÉN DE EM;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;24;0;0;1;0;23;0;0;0;0;52;0;0;0;0;0
201912;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;33618;23511;53;8305;0;48680;91;0;0;0;40;0;0;0;0;0
201912;48;CUARTO FRIO;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;17;8;0;10;0;15;0;0;0;0;40;0;0;0;0;0
201912;59;BODEGA ENTIDADES              ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;0;4;0;0;0;4;0;0;0;0;40;0;0;0;0;0
201912;88;BODEGA NAL. DE DEVOLUCIONES   ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;16;16;22;0;2;8;4;0;7;0;40;0;0;0;0;0
201912;C7;BOD NAL DE M/CIA NO RECIBIDA  ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;0;19;0;0;0;7;12;0;4;0;40;0;0;0;0;0
201912;I7;TIENDA VIRTUAL ALMACÉN DE EM;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;21;0;0;1;0;20;0;0;0;0;40;0;0;0;0;0
202001;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10001;FIXAMICIN NF MM               ;FCOx15Ml    ;210;1823;0;1437;0;0;386;0;0;0;0;37;0;0;0;0;0
202001;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;10619;0;14;527;0;10078;0;0;0;0;52;0;0;0;0;0
202001;48;CUARTO FRIO;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;7;0;0;0;0;7;0;0;0;0;52;0;0;0;0;0
202001;88;BODEGA NAL. DE DEVOLUCIONES   ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;33;162;77;0;0;101;17;0;74;0;52;0;0;0;0;0
202001;C8;BODEGA DEVOLUCION YUMBO       ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;0;0;4;0;8;3;1;0;0;0;52;0;0;0;0;0
202001;I7;TIENDA VIRTUAL ALMACÉN DE EM;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;23;0;0;0;0;23;0;0;0;0;52;0;0;0;0;0
202001;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;48771;12;26;4418;0;44337;2;0;0;0;40;0;0;0;0;0
201905;48;CUARTO FRIO;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;4;2;0;0;0;6;0;0;0;0;52;0;0;0;0;0
201905;88;BODEGA NAL. DE DEVOLUCIONES   ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;229;334;102;0;9;338;132;0;89;0;52;0;0;0;0;0
201905;C7;BOD NAL DE M/CIA NO RECIBIDA  ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;15;1;1;0;0;2;13;0;0;0;52;0;0;0;0;0
201905;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;21502;23432;219;5904;0;38809;2;0;0;0;40;0;0;0;0;0
201905;48;CUARTO FRIO;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;17;0;0;5;0;12;0;0;0;0;40;0;0;0;0;0
201905;88;BODEGA NAL. DE DEVOLUCIONES   ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;152;116;125;0;0;107;36;0;20;0;40;0;0;0;0;0
201905;C7;BOD NAL DE M/CIA NO RECIBIDA  ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;36;1;35;-1;0;3;0;0;0;0;40;0;0;0;0;0
201906;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10001;FIXAMICIN NF MM               ;FCOx15Ml    ;210;519;0;72;0;0;447;0;0;0;0;37;0;0;0;0;0
201906;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;10519;0;5;1794;0;8712;8;0;0;0;52;0;0;0;0;0
201906;8;TQ. DEVOLUCIONES              ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;0;3;0;0;0;3;0;0;0;0;52;0;0;0;0;0
201906;48;CUARTO FRIO;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;6;0;0;0;0;6;0;0;0;0;52;0;0;0;0;0
201906;88;BODEGA NAL. DE DEVOLUCIONES   ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;470;190;386;0;6;201;79;0;151;0;52;0;0;0;0;0
201906;C8;BODEGA DEVOLUCION YUMBO       ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;8;0;9;0;6;5;0;0;0;0;52;0;0;0;0;0
201906;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;38811;2;8;8174;0;30006;625;0;0;0;40;0;0;0;0;0
201906;48;CUARTO FRIO;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;12;0;0;0;0;12;0;0;0;0;40;0;0;0;0;0
201906;88;BODEGA NAL. DE DEVOLUCIONES   ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;143;50;125;0;2;48;22;0;9;0;40;0;0;0;0;0
201906;C8;BODEGA DEVOLUCION YUMBO       ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;7;0;8;0;3;2;0;0;0;0;40;0;0;0;0;0
201906;C9;BOD M/CIA NO RECIBIDA YUMBO   ;1;ETICOS TQ           ;18;Urologia            ;12;12;10025;BLADURIL x200MG TABLETAS      ;CAJx10TAB   ;300;0;2;1;-1;0;2;0;0;0;0;40;0;0;0;0;0
201907;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10001;FIXAMICIN NF MM               ;FCOx15Ml    ;210;447;1996;100;0;0;2343;0;0;0;0;37;0;0;0;0;0
201907;1;TECNOQUIMICAS YUMBO           ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;8720;7;4743;1492;0;2025;0;467;4;0;52;0;0;0;0;0
201907;48;CUARTO FRIO;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;6;0;4;1;0;1;0;0;0;0;52;0;0;0;0;0
201907;88;BODEGA NAL. DE DEVOLUCIONES   ;1;ETICOS TQ           ;15;Otorrinolaringologia;01A;01A;10018;FIXAMICIN NF                  ;FCOx15Ml    ;210;280;288;229;0;-14;265;60;0;111;0;52;0;0;0;0;0
